2025/10/02 15:20:54 INFO starting import of ./test_data.csv
2025/10/02 15:20:54 INFO Import successful
2025/10/02 15:20:54 INFO starting import of ./test_data.csv
2025/10/02 15:20:54 INFO Import successful
2025/10/02 15:20:54 INFO starting import of 
goos: linux
goarch: amd64
pkg: importer/customerimporter
cpu: AMD Ryzen 5 5600H with Radeon Graphics         
BenchmarkImportDomainData-12    	     528	   2209040 ns/op	 1472885 B/op	   20540 allocs/op
BenchmarkImportDomainData-12    	     552	   2226141 ns/op	 1472883 B/op	   20540 allocs/op
BenchmarkImportDomainData-12    	     554	   2197899 ns/op	 1472894 B/op	   20540 allocs/op
BenchmarkImportDomainData-12    	     535	   2216561 ns/op	 1472889 B/op	   20540 allocs/op
BenchmarkImportDomainData-12    	     540	   2224424 ns/op	 1472893 B/op	   20540 allocs/op
BenchmarkImportDomainData-12    	     532	   2245600 ns/op	 1472884 B/op	   20540 allocs/op
BenchmarkImportDomainData-12    	     538	   2246846 ns/op	 1472887 B/op	   20540 allocs/op
BenchmarkImportDomainData-12    	     532	   2215806 ns/op	 1472883 B/op	   20540 allocs/op
BenchmarkImportDomainData-12    	     540	   2221107 ns/op	 1472882 B/op	   20540 allocs/op
BenchmarkImportDomainData-12    	     537	   2217285 ns/op	 1472885 B/op	   20540 allocs/op
BenchmarkImportDomainData-12    	     541	   2193967 ns/op	 1472886 B/op	   20540 allocs/op
BenchmarkImportDomainData-12    	     532	   2216833 ns/op	 1472884 B/op	   20540 allocs/op
BenchmarkImportDomainData-12    	     544	   2224355 ns/op	 1472885 B/op	   20540 allocs/op
BenchmarkImportDomainData-12    	     541	   2227909 ns/op	 1472871 B/op	   20540 allocs/op
BenchmarkImportDomainData-12    	     526	   2199903 ns/op	 1472890 B/op	   20540 allocs/op
BenchmarkImportDomainData-12    	     543	   2212138 ns/op	 1472897 B/op	   20540 allocs/op
BenchmarkImportDomainData-12    	     550	   2212981 ns/op	 1472887 B/op	   20540 allocs/op
BenchmarkImportDomainData-12    	     534	   2221215 ns/op	 1472886 B/op	   20540 allocs/op
BenchmarkImportDomainData-12    	     536	   2219990 ns/op	 1472887 B/op	   20540 allocs/op
BenchmarkImportDomainData-12    	     544	   2185381 ns/op	 1472890 B/op	   20540 allocs/op
BenchmarkImportDomainData-12    	     536	   2202907 ns/op	 1472889 B/op	   20540 allocs/op
BenchmarkImportDomainData-12    	     534	   2183725 ns/op	 1472886 B/op	   20540 allocs/op
BenchmarkImportDomainData-12    	     546	   2252724 ns/op	 1472880 B/op	   20540 allocs/op
BenchmarkImportDomainData-12    	     543	   2239693 ns/op	 1472887 B/op	   20540 allocs/op
BenchmarkImportDomainData-12    	     548	   2250353 ns/op	 1472893 B/op	   20540 allocs/op
BenchmarkImportDomainData-12    	     540	   2211122 ns/op	 1472881 B/op	   20540 allocs/op
BenchmarkImportDomainData-12    	     542	   2218065 ns/op	 1472887 B/op	   20540 allocs/op
BenchmarkImportDomainData-12    	     532	   2272422 ns/op	 1472884 B/op	   20540 allocs/op
BenchmarkImportDomainData-12    	     540	   2228332 ns/op	 1472885 B/op	   20540 allocs/op
BenchmarkImportDomainData-12    	     531	   2226353 ns/op	 1472895 B/op	   20540 allocs/op
BenchmarkImportDomainData-12    	     541	   2201959 ns/op	 1472885 B/op	   20540 allocs/op
BenchmarkImportDomainData-12    	     541	   2218597 ns/op	 1472876 B/op	   20540 allocs/op
BenchmarkImportDomainData-12    	     540	   2203947 ns/op	 1472885 B/op	   20540 allocs/op
BenchmarkImportDomainData-12    	     548	   2207913 ns/op	 1472873 B/op	   20540 allocs/op
BenchmarkImportDomainData-12    	     541	   2223924 ns/op	 1472881 B/op	   20540 allocs/op
BenchmarkImportDomainData-12    	     537	   2229770 ns/op	 1472876 B/op	   20540 allocs/op
BenchmarkImportDomainData-12    	     530	   2195325 ns/op	 1472884 B/op	   20540 allocs/op
BenchmarkImportDomainData-12    	     529	   2181255 ns/op	 1472889 B/op	   20540 allocs/op
PASS
ok  	importer/customerimporter	142.496s
