2025/10/02 13:11:54 INFO starting import of ./test_data.csv
2025/10/02 13:11:54 INFO Import successful
2025/10/02 13:11:54 INFO starting import of ./test_data.csv
2025/10/02 13:11:54 INFO Import successful
2025/10/02 13:11:54 INFO starting import of 
goos: linux
goarch: amd64
pkg: importer/customerimporter
cpu: AMD Ryzen 5 5600H with Radeon Graphics         
BenchmarkImportDomainData-12    	     536	   2142599 ns/op	 1476780 B/op	   20539 allocs/op
BenchmarkImportDomainData-12    	     559	   2145005 ns/op	 1476779 B/op	   20539 allocs/op
BenchmarkImportDomainData-12    	     549	   2170111 ns/op	 1476782 B/op	   20539 allocs/op
BenchmarkImportDomainData-12    	     550	   2157799 ns/op	 1476775 B/op	   20539 allocs/op
BenchmarkImportDomainData-12    	     554	   2147996 ns/op	 1476776 B/op	   20539 allocs/op
BenchmarkImportDomainData-12    	     560	   2149142 ns/op	 1476771 B/op	   20539 allocs/op
BenchmarkImportDomainData-12    	     555	   2139290 ns/op	 1476771 B/op	   20539 allocs/op
BenchmarkImportDomainData-12    	     552	   2147001 ns/op	 1476782 B/op	   20539 allocs/op
BenchmarkImportDomainData-12    	     559	   2141618 ns/op	 1476780 B/op	   20539 allocs/op
BenchmarkImportDomainData-12    	     561	   2153934 ns/op	 1476776 B/op	   20539 allocs/op
BenchmarkImportDomainData-12    	     558	   2136347 ns/op	 1476780 B/op	   20539 allocs/op
BenchmarkImportDomainData-12    	     556	   2156668 ns/op	 1476770 B/op	   20539 allocs/op
BenchmarkImportDomainData-12    	     559	   2149057 ns/op	 1476780 B/op	   20539 allocs/op
BenchmarkImportDomainData-12    	     556	   2154132 ns/op	 1476783 B/op	   20539 allocs/op
BenchmarkImportDomainData-12    	     559	   2152377 ns/op	 1476781 B/op	   20539 allocs/op
BenchmarkImportDomainData-12    	     558	   2135897 ns/op	 1476775 B/op	   20539 allocs/op
BenchmarkImportDomainData-12    	     561	   2139315 ns/op	 1476769 B/op	   20539 allocs/op
BenchmarkImportDomainData-12    	     555	   2148479 ns/op	 1476783 B/op	   20539 allocs/op
BenchmarkImportDomainData-12    	     559	   2189863 ns/op	 1476772 B/op	   20539 allocs/op
BenchmarkImportDomainData-12    	     553	   2143357 ns/op	 1476786 B/op	   20539 allocs/op
BenchmarkImportDomainData-12    	     555	   2150785 ns/op	 1476777 B/op	   20539 allocs/op
BenchmarkImportDomainData-12    	     549	   2138606 ns/op	 1476781 B/op	   20539 allocs/op
