2025/10/02 14:13:25 INFO starting import of ./test_data.csv
2025/10/02 14:13:25 INFO Import successful
2025/10/02 14:13:25 INFO starting import of ./test_data.csv
2025/10/02 14:13:25 INFO Import successful
2025/10/02 14:13:25 INFO starting import of 
goos: linux
goarch: amd64
pkg: importer/customerimporter
cpu: AMD Ryzen 5 5600H with Radeon Graphics         
BenchmarkImportDomainData-12    	     471	   2465260 ns/op	 1464999 B/op	   20038 allocs/op
BenchmarkImportDomainData-12    	     488	   2419336 ns/op	 1465001 B/op	   20038 allocs/op
BenchmarkImportDomainData-12    	     499	   2355694 ns/op	 1464998 B/op	   20038 allocs/op
BenchmarkImportDomainData-12    	     501	   2413790 ns/op	 1465006 B/op	   20038 allocs/op
BenchmarkImportDomainData-12    	     518	   2355594 ns/op	 1465002 B/op	   20038 allocs/op
BenchmarkImportDomainData-12    	     500	   2348815 ns/op	 1464996 B/op	   20038 allocs/op
BenchmarkImportDomainData-12    	     512	   2350181 ns/op	 1465005 B/op	   20038 allocs/op
BenchmarkImportDomainData-12    	     516	   2386668 ns/op	 1464995 B/op	   20038 allocs/op
BenchmarkImportDomainData-12    	     494	   2334917 ns/op	 1464992 B/op	   20038 allocs/op
BenchmarkImportDomainData-12    	     501	   2294985 ns/op	 1464998 B/op	   20038 allocs/op
BenchmarkImportDomainData-12    	     506	   2354887 ns/op	 1465005 B/op	   20038 allocs/op
BenchmarkImportDomainData-12    	     517	   2349873 ns/op	 1465000 B/op	   20038 allocs/op
BenchmarkImportDomainData-12    	     505	   2353274 ns/op	 1465006 B/op	   20038 allocs/op
BenchmarkImportDomainData-12    	     522	   2303737 ns/op	 1465001 B/op	   20038 allocs/op
BenchmarkImportDomainData-12    	     511	   2426758 ns/op	 1464992 B/op	   20038 allocs/op
BenchmarkImportDomainData-12    	     475	   2398903 ns/op	 1464997 B/op	   20038 allocs/op
BenchmarkImportDomainData-12    	     505	   2337450 ns/op	 1465010 B/op	   20038 allocs/op
BenchmarkImportDomainData-12    	     513	   2378712 ns/op	 1465004 B/op	   20038 allocs/op
BenchmarkImportDomainData-12    	     466	   2655711 ns/op	 1464995 B/op	   20038 allocs/op
BenchmarkImportDomainData-12    	     466	   2530273 ns/op	 1465006 B/op	   20038 allocs/op
BenchmarkImportDomainData-12    	     465	   2596200 ns/op	 1465014 B/op	   20038 allocs/op
BenchmarkImportDomainData-12    	     459	   2581208 ns/op	 1464997 B/op	   20038 allocs/op
BenchmarkImportDomainData-12    	     457	   2521914 ns/op	 1465002 B/op	   20038 allocs/op
BenchmarkImportDomainData-12    	     504	   2501694 ns/op	 1464994 B/op	   20038 allocs/op
BenchmarkImportDomainData-12    	     466	   2450936 ns/op	 1465003 B/op	   20038 allocs/op
BenchmarkImportDomainData-12    	     522	   2341290 ns/op	 1465014 B/op	   20038 allocs/op
BenchmarkImportDomainData-12    	     508	   2277342 ns/op	 1465017 B/op	   20038 allocs/op
BenchmarkImportDomainData-12    	     531	   2247688 ns/op	 1465020 B/op	   20038 allocs/op
BenchmarkImportDomainData-12    	     530	   2268899 ns/op	 1465021 B/op	   20038 allocs/op
BenchmarkImportDomainData-12    	     536	   2281250 ns/op	 1465008 B/op	   20038 allocs/op
BenchmarkImportDomainData-12    	     522	   2283147 ns/op	 1465008 B/op	   20038 allocs/op
BenchmarkImportDomainData-12    	     510	   2246341 ns/op	 1465007 B/op	   20038 allocs/op
BenchmarkImportDomainData-12    	     534	   2284058 ns/op	 1465026 B/op	   20038 allocs/op
BenchmarkImportDomainData-12    	     530	   2280868 ns/op	 1465016 B/op	   20038 allocs/op
BenchmarkImportDomainData-12    	     518	   2262741 ns/op	 1465014 B/op	   20038 allocs/op
BenchmarkImportDomainData-12    	     534	   2290873 ns/op	 1465019 B/op	   20038 allocs/op
BenchmarkImportDomainData-12    	     530	   2274569 ns/op	 1465019 B/op	   20038 allocs/op
BenchmarkImportDomainData-12    	     519	   2256536 ns/op	 1465020 B/op	   20038 allocs/op
PASS
ok  	importer/customerimporter	143.713s
